train_type,direction,origin,destination,departure_time,arrival_time,duration_minutes
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,ATHI RIVER,2024-01-01 08:00:00,2024-01-01 08:19:00,19.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,EMALI,2024-01-01 08:00:00,2024-01-01 09:27:00,87.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,KIBWEZI,2024-01-01 08:00:00,2024-01-01 10:14:00,134.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,MTITO ANDEI,2024-01-01 08:00:00,2024-01-01 10:50:00,170.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,VOI,2024-01-01 08:00:00,2024-01-01 12:02:00,242.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,MIASENYI,2024-01-01 08:00:00,2024-01-01 12:41:00,281.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,MARIAKANI,2024-01-01 08:00:00,2024-01-01 13:27:00,327.0
INTER-COUNTY EXPRESS,NAIROBI (NTM) TO MOMBASA (MTM),NTM,MTM,2024-01-01 08:00:00,2024-01-01 14:00:00,360.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,MARIAKANI,2024-01-01 08:00:00,2024-01-01 08:26:00,26.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,MIASENYI,2024-01-01 08:00:00,2024-01-01 09:12:00,72.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,VOI,2024-01-01 08:00:00,2024-01-01 09:49:00,109.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,MTITO ANDEI,2024-01-01 08:00:00,2024-01-01 11:18:00,198.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,KIBWEZI,2024-01-01 08:00:00,2024-01-01 11:51:00,231.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,EMALI,2024-01-01 08:00:00,2024-01-01 12:36:00,276.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,ATHI RIVER,2024-01-01 08:00:00,2024-01-01 13:45:00,345.0
INTER-COUNTY EXPRESS,MOMBASA (MTM) TO NAIROBI (NTM),MTM,NTM,2024-01-01 08:00:00,2024-01-01 14:10:00,370.0
NIGHT TRAIN,NAIROBI (NTM) TO MOMBASA (MTM),NTM,VOI,2024-01-01 22:00:00,2024-01-02 03:35:00,335.0
NIGHT TRAIN,NAIROBI (NTM) TO MOMBASA (MTM),NTM,MTM,2024-01-01 22:00:00,2024-01-02 08:00:00,600.0
